Name,Average.coverage,Reference.length
392,2.470,487
393,1.517,470
394,1.910,942
395,2.697,445
396,2.842,317
397,3.048,395
398,2.910,620
399,2.508,685
400,2.017,665
401,1.621,470
402,2.085,449
403,2.069,579
404,3.040,594
405,2.139,562
406,2.188,548
407,2.800,484
408,1.840,520
409,1.844,572
410,1.766,657
